link;titulo;moneda;precio;descripcion;ubicacion;condicion;Superficie total;Superficie cubierta;Dormitorios;Baños;Cantidad de pisos;Apartamentos por piso;Número de piso de la unidad;Disposición;Antigüedad;Gastos comunes;caracteristicas_ambientes;Cocheras;Ambientes;Orientación;Tipo de departamento;Bodegas;Acceso;Tipo de cochera;Tipo de cobertura;Metros de frente;Metros de fondo;Forma del terreno;Disposición del lote;Tipo de casa
https://inmueble.mercadolibre.com.uy/MLU-478716714-contenedor-40-pies-20-pies-casa-con-2-dormitorios-_JM#position=12&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Camino Fenix 4444, Manga;U$S;18.990;-Revestimiento en paredes: melamínico blanco de 15mm-Revestimiento en techo: lambriz de PVC blanco-Aislación térmica: lana de vidiro aluminizada de 50 mm tipo ISOVER -Instalación eléctrica: La misma será antillama acorde a normativa vigente. Se utilizan accesorios CONATEL. Se incluyen 7 plafones de LED (6 de 24 W para ambiente principal y dormitorio y uno de 12w para baño), dos plafones exteriores, 12 tomas corriente 3 en línea y schuko,  e interruptores correspondientes. (Incluye instalación eléctrica para calefón y aires acondicionados).-Instalación sanitaria: La misma se realiza en termofusión, agua fría y caliente. Se utilizan griferías tipo monocomando.-Baño completo: Incluye inodoro con mochila, lavamanos con pie, cabina de ducha, accesorios (Se utilizan cerámicas tipo Lorenzetti). Revestimiento cerámico en piso y pared de la cabina de ducha.-Kitchenette: Incluye mesada de acero inoxidable y mueble bajo mesada.-Aberturas: Puerta de acceso de 0,85 x 2,05 metrosPuerta ventana de aluminio serie 25 de 1,50 x 2,00 metros en ambiente principal Una ventana de aluminio serie 20 de 1,20 x 1,00 metros en cada dormitorioBanderola de baño de 0,60 x 0,40 con vidrio esmerilado-Piso: madera de origen del contenedor pintado con esmalte sintético color a elección-Pintura: trabajos de pulido, tratamiento exterior antióxido de 2 manos y terminación con 2 manos de esmalte sintético color a elección.;Manga, Montevideo;Vende;45 m²;45 m²;;;;;;;;;;;;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478741023-casa-de-estilo-en-corazon-del-prado-_JM#position=13&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Buschental 0000, Prado;U$S;350.000;Casa de Estilo en el corazón del barrio Prado. Ubicada en calle Buschental, cuadra icónica de la zona. Se encuentra en excelentes condiciones de mantenimiento y cuenta con una superficie construida de 190 m2.Se destacan de la unidad: -Tres terrazas (dos al frente y una al fondo). -Cochera techada para dos autos ( y lugar para tres o cuatro).-2 balcones.-4 dormitorios o tres dormitorios y escritorio (2 en una planta y dos arriba).-2 baños completos hechos a nuevo recientemente.-Pallier.-Living comedor amplio (8m x 4.5 m).-Cocina definida con puerta ventana y balcón al frente.-Hall de distribución.-Escaleras y aberturas en maderas nobles.-Excelentes placares de 6 puertas en dormitorios. -Pisos de pinotea de tabla larga.-Dos aires acondicionados, calefactor a leña tipo salamandra grande.-Excelente parrillero.-Claraboya acondicionada recientemente. -Instalación eléctrica nueva. -Pintura de paredes y aberturas en muy buen estado.-Impuestos al día- Excelente ventilación y luz natural en todos los espaciosConsulte por mas fotos al número de contacto.;Prado, Montevideo;Vende;300 m²;190 m²;3;2;;;;;;;;2;;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478742917-casa-cordon-_JM#position=14&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Guana Al 1900, Parque Rodó;U$S;119.000;Guana y Jackson, Casa en Propiedad Horizontal totalmente independiente, sin gastos comunes.Se desarrolla en 3 plantas, pronta para entrar 2 dormitorios amplios, uno en suitteCocina definida y 2 baños uno completo otro social.Excelente zona con todos los servicios y buena locomoción.Precio de Venta U$S 119.000Asesor Designado Matias Lychenheim 096.500.123La Casa Propiedades - La opción inmobiliaria de MontevideoDirección: Bv.España 2153 esq. Joaquin de SalterainTeléfono: 2407.44.90 Whatsapp: 096 500 414Seguinos en Instagram y Facebook @lacasapropSomos socios ADIU, Asociación de Agentes Inmobiliarios de Uruguaywww.LaCasaPropiedades.com.uy;Parque Rodó, Montevideo;Vende;60 m²;60 m²;2;2;3;;;;0 años;0 UYU;;;3;Sur;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478711814-hermoso-apartamento-de-3-dormitorios-en-zona-de-colegios-_JM#position=15&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Juan Pedro Beranger, Carrasco;U$S;315.000;Edificio GreenPort, en la zona del Latu, colegios (British School , Anglo y American School) y Portones Shopping .Apartamento de 3 dormitorios. Excelente ubicación con vistas muy despejadas. Muy buenas terminaciones. Cuenta con 94 m2 propios mas 12 m2 de terraza.Apartamento con parrillero y estufa a leña. Persianas eléctricas, aberturas con DVH (doble vidrio), mosquiteros en todas las ventanas. A/C en 2 ambientes. Calefacción por losa radiante eléctrica.Cocina con campanas y lavadero con cerramiento. Garaje para dos autos y gran box. Seguridad de última generación.Honorarios inmobiliarios 3% + IVA;Carrasco, Montevideo;Vende;106 m²;94 m²;3;3;;;;;1 años;12 UYU;Cocina,;2;4;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478795513-casa-con-3-dormitorios-en-prado-norte-a-500m-del-hotel-del-prado-_JM#position=16&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Gral. Hornos, Prado;U$S;119.000;Excelente oportunidad para personas que disfrutan de la cercanía de espacios verdes donde poder realizar actividades al aire libre rodeados de naturaleza! Ideal para familias con niños ya que la casa en encuentra próxima a los juegos del Prado!La casa cuenta con jardín y entrada para un auto.Se compone de 3 dormitorios que reciben gran iluminación y ventilación natural y también cuentan con aire acondicionado, living comedor, también con aire acondicionado, que se comunica con cómoda cocina amoblada con aéreos y bajo mesada. La cocina se conecta directamente a una barbacoa cerrada.Desde la barbacoa se accede a patio al fondo cerrado perimetralmente.La casa está construida bajo sistema tradicional, con cubierta de hormigón armado salvo en la barbacoa que tiene techo liviano.ACEPTA PRÉSTAMO BANCARIO.Le invitamos a coordinar una visita para que pueda conocerla personalmente!Comisión inmobiliaria: 3% + IVA;Prado, Montevideo;Vende;217 m²;93 m²;3;1;;;;;1941 años;;Cocina,;1;5;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478716911-oportunidad-excelente-apartamento-2-dormitorios-a-estrenar-_JM#position=17&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;San Martin 3601, Brazo Oriental;U$S;139.000;Excelente APARTAMENTO a estrenar, con garaje opcional! Un Hermoso apartamento listo para estrenar, moderno, con calidad, pensando en la comodidad y buen gusto.VIRTUDES A DESTACAR: Amplio living comedor, con cocina kitchenette, Salida a hermosa terraza con parrillero de uso único con espectacular vista, brindándole una iluminación inmejorable al apartamento. Dormitorio 1: con espectacular ventanales, con iluminación increíble. Roperos incluido. Dormitorios 2: acceso a gran terraza, roperos incluido. Esta ubicado en un punto estratégico próximo a unos de los principales ejes de la ciudad comoBvar. Batlle y Ordóñez y Av. Luis Alberto de Herrera, contando con múltiples servicios cerca de la propiedad, buen transporte para cualquier punto de la ciudad.Excelente oportunidad para familias en crecimiento, buscando invertir en una propiedad moderna con muy buenas distribuciones, facilidad de desplazamiento, a muy buen precio. TE INVITAMOS A REALIZAR UNA VISITA! , en donde podrán confirmar lo expuesto.;Brazo Oriental, Montevideo;Vende;70 m²;70 m²;2;1;;;;;1 años;;Agua corriente,;1;3;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478787134-excelente-propiedad-reciclada-a-nuevo-muy-buena-ubicacion-_JM#position=18&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Magested 1624, Brazo Oriental;U$S;141.000;EXCELENTE PROPIEDAD CON AMPLIOS AMBIENTES Y MUY BUENA ILUMINACIÓNRECICLADA A NUEVO !!!Muy buena ubicación en un barrio lindo y familiar próximo al Prado, Av.Burgues , Av Luis Alberto de Herrera, Supermercados, Colegios etc.BARRIO ATHAHUALPA - BRAZO ORIENTAL CASA de 2 dormitorios amplios + Altillo pudiendo ser 1 dormitorio mas.Precio:  USD 141.000Casa al frente con jardín frontal y porche de accesoAmplio estar comedor, dos amplios dormitorios y estudio en el nivel superior con posibilidad de ser un tercer dormitorio.Todos los ambientes con excelente iluminación naturalBaño completo y cocina independientePatio al fondo vinculado a la cocina .72 Metros cuadrados construidos Acepta Préstamo BancarioCONSULTE Y AGENDE SU VISITA;Brazo Oriental, Montevideo;Vende;104 m²;72 m²;2;1;;;;;0 años;;Cocina,;;4;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478723830-apartamento-penthouse-venta-cordon-montevideo-imasuy-l--_JM#position=19&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Pablo De Maria 1400, Cordón;U$S;98.000;Venta de Apartamento 1 DORMITORIO en Cordón, MontevideoDirección: Pablo de Maria Esq. BrandzenPenthouse en 4to piso por escalera de 1 dormitorio.Desarrollado en 48m2 cuenta con 1 dormitorio con salida a balcón, 1 baño, cómodo living comedor con cocina integrada y salida a terraza al frente.Cuenta con una terraza de uso común para tendido de ropa y uso de parrillero.Gastos Comunes: $ 2000Incluyen: Ose, Saneamiento, Luz de PasilloGastos Anuales aproximados:Contribucion : $ 3000Primaria   : $ 1000Recorrido en Video   : https://youtu.be/PjGa5bl9vpwEntorno 360º      : https://goo.gl/maps/4LtPUuGw31rfujvD8AGENTE INMOBILIARIO: Leonardo Amigo - 096.100.701Inmobiliaria MASContactos: 2407 07 01 | 096 100 701 Dirección: Canelones 1968 esq. Jacksonhttps://www.imas.uy | info@imas.uyXINTEL(IMS-IMS-6027);Cordón, Montevideo;Vende;51 m²;48 m²;1;1;;;;;;1000 UYU;;;1;Este;266260;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478745466-oportunidad-2-dormitorios-con-descuento-vivienda-social-inversion-ideal-01-libertador-_JM#position=20&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Av. Libertador 1770 Esq. Valparaíso, Aguada;U$S;120.975;Venta de Apartamento 2 Dormitorios en Aguada, Montevideo.Lanzamiento! Estrena Diciembre/2022!| Promoción con descuento de USD 10.000 (Bono Vitrium) y 5% de descuento por forma de pago (50% Entrega inicial / 25% durante el periodo de obra / 25% contra ocupación ) incluido en el valor publicado (precio de lista USD 137.342)Moderno Apartamento de 2 dormitorios, ubicado en piso 2 (Unidad 208), con Orientación Sureste (Muy Iluminado). El mismo se distribuye en: Pasillo de entrada, Living Comedor con Cocina integrada de concepto abierto con mueble de melaminico blanco tipo isla .Balcón con salida desde el living .Baño completo con accesibilidad Universal y ventilación natural. Cómodos dormitorios. Cuenta además con previsión para lavadora, calefón y aire acondicionado.Edificio 01 Libertador: En el corazón del barrio La Aguada, sobre Avenida Libertador la cual une la Plaza del Entrevero con el Palacio Legislativo.La arquitectura contemporánea se centra cada vez más en la optimización y mejora del uso de los recursos naturales como el agua, el sol y la vegetación mediante sistemas ecológicos y sostenibles como un medio para restaurar la integridad ambiental de las zonas urbanas y la biodiversidad.01 Libertador propone una gran fachada hacia el Norte abierta a las edificaciones históricas linderas, construyendo así un nuevo marco paisajístico y urbano en la ciudad. El verde de sus jardines sugiere confort y calidad de vida. Ofrece a los residentes frescura y color a la vez que contribuye favorablemente al paisaje urbano de Montevideo.Sobre una esquina, con tres fachadas despejadas 01 Libertador despliega imponentes lozas irregulares que sirven de bandeja para sus jardines.- 78 Apartamentos desde el piso 1 al 11- Planta Baja comercial- 40 Garajes en subsuelo- 2 Ascensores- Sistema de seguridad- Hall y espacio de Cowork vinculado con patio central- Rooftop con vistas a la Bahía y al Cerro de Montevideo- Mirador- Parrilleros- SUM- Laundry/Tender- Bike ParkingBENEFICIOS DE LAS FACHADAS VERDES:Los proyectos con ecologización de fachadas embellecen a los edificios de modo físico-estructural y ecológico-urbano, aportando a la salud del aire en la ciudad.Reducen hasta 5 grados la temperatura interior de un edificio en verano y mantienen la temperatura en invierno. Atrapan el polvo y el smog. Son un aislante natural del ruido porque absorben y reducen sonidos de alta frecuencia disminuyendo el ruido hasta en 10 decibeles. Devuelven la naturaleza a la ciudad y transforman los espacios urbanos de manera estética, haciéndolos más sofisticados, confortables y saludables.Garajes opcionales desde: USD 20.000Bajos Gastos Comunes!El proyecto se realiza al amparo de la Ley 18.795(ley de promoción de viviendas de interés social) por lo que cuenta con:- Exoneración del ITP- Exoneración de IRAE/IRPF a las rentas generadas de los alquileres por 10 años- Exoneración del IP por 10 añosTe asesoramos en caso de necesitar financiación bancaria!Otros gastos:Gastos de ocupación: 4,5% (incluyen gastos de conexión, alhajamiento de espacios comunes, reglamento de co-propiedad y plano de mesura)Honorarios Inmobiliaria: 3% + IVAMONTEVIDEO BROKERS | Más Proyectos Para Tu Vida.;Aguada, Montevideo;Vende;71 m²;58 m²;2;1;11;;;Contrafrente;0 años;0 UYU;Balcón,;;3;Sur;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478744989-casa-venta-4-dormitorios-pocitos-garaje-_JM#position=21&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Pereira 9999, Pocitos;U$S;297.000;Casa padrón único. Planta baja: Hall de entrada, Living comedor, dormitorio, baño social, estar con estufa a leña, cocina , patio pequeño con parrillero. Garaje.Planta alta en desnivel, tres dormitorios dos de ellos en suite. Gran terraza hacia la calle otra hacia atrás donde esta el lavadero.;Pocitos, Montevideo;Vende;169 m²;169 m²;4;3;;;;;;;Cocina,Balcón,Dormitorio en suite,Patio,Living,Comedor,Terraza,Baño social,;1;;Norte;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478711964-venta-de-hermoso-apartamento-en-town-park-_JM#position=22&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Millán 4250, Prado;U$S;129.000;Apartamento 1 dormitorio, cocina definida con muebles bajo mesada, baño completo, terraza. Con cochera. Gastos Comunes $3.000 aprox. Town Park, es un proyecto único en Montevideo ideal para vivir o invertir. Se encuentra en un predio totalmente cerrado que es un enorme parque verde.Servicios:•	22.000m² de parque cerrado•	Barbacoas al aire libre•	Salones multiuso•	Cancha polideportiva•	Juegos para niños•	Plataforma de descanso•	Circuito peatonal aeróbico•	Estacionamientos subterráneos•	Predio con acceso controladoServicios en la casona:•	Salón de usos múltiples con parrillero•	Sala de cine y proyecciones•	Minimarket•	Biblioteca •	AdministraciónNO DUDES EN CONOCERLO!!;Prado, Montevideo;Vende;43 m²;35 m²;1;1;;;;;1 años;3000 UYU;Seguridad 24 horas,;1;2;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478733149-dueno-vende-piso-entero-penthouse-vivienda-u-oficinas-centro-_JM#position=23&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;18 De Julio 1220, Centro;U$S;290.000;Trato directo con dueño. No paga comisión inmobiliaria.Piso entero en el Centro de Montevideo, sobre 18 de Julio y Yi. Se vende libre o con renta en dólares del 5% anual.- Apto para vivienda u oficina- 2 balcones de los cuales uno da hacia 18 de Julio- 7 dormitorios, 2 de ellos con baño en suite- Cocina con comedor diario- Living y estar- Circuito cerrado de cámaras de seguridad- Calefacción individual por caldereta a gas- Gastos comunes bajos de $7000Aceptamos criptomonedas.¡Consultá!;Centro, Montevideo;Vende;220 m²;220 m²;7;3;6;1;5;Frente;;7000 UYU;Cocina,Balcón,Dormitorio en suite,Patio,Living,Estudio,Comedor,Terraza,Baño social,;;;Norte;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478762926-casa-venta-parque-rodo-montevideo-imasuy-lc-_JM#position=24&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Patria 400, Parque Rodó;U$S;279.000;Venta de Casa 2 DORMITORIOS en Parque Rodó, MontevideoPADRÓN ÚNICOPlanta Baja 92m2RecibidorAmplio Living al frente con estufa a leñaComedor definidoAmplia cocina con placard bajo y sobre mesadaEntrada al Garage (4.28 x 2.40) desde la cocinaBaño completoPatio con iluminación por claraboyaPlanta Alta 65m2Estar amplio definido (Opción de generar un 3er dormitorio o escritorio)2 Dormitorios ampliosBaño amplio completoTerraza cómodaGastos Anuales aproximados:Contribucion : $ 35.000Primaria : $ 12.000Recorrido en Video Planta Baja : https://youtu.be/IVc3aLCz5uMRecorrido en Video Planta Alta : https://youtu.be/ZUwmO_JjPiIAGENTE INMOBILIARIO: Lucas Calistro 096.100.725Inmobiliaria MASContactos: 2407 07 01 | 096 100 701Dirección: Canelones 1968 esq. Jacksonhttps://www.imas.uy | info@imas.uyXINTEL(IMS-IMS-5865);Parque Rodó, Montevideo;Vende;157 m²;145 m²;2;2;2;;;;;;;1;;;;;;;;;;;;
